x_mm,y_mm,z_mm
7.300000000000000000e+01,7.100000000000000000e+01,4.040000000000000000e+02
7.900000000000000000e+01,8.100000000000000000e+01,4.030000000000000000e+02
8.200000000000000000e+01,7.400000000000000000e+01,4.050000000000000000e+02
1.350000000000000000e+02,1.220000000000000000e+02,3.890000000000000000e+02
7.600000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
7.700000000000000000e+01,7.300000000000000000e+01,4.030000000000000000e+02
8.700000000000000000e+01,7.800000000000000000e+01,1.800000000000000000e+02
7.800000000000000000e+01,8.000000000000000000e+01,4.030000000000000000e+02
7.500000000000000000e+01,7.000000000000000000e+01,4.030000000000000000e+02
7.200000000000000000e+01,7.100000000000000000e+01,4.050000000000000000e+02
7.800000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
7.700000000000000000e+01,7.000000000000000000e+01,4.030000000000000000e+02
7.500000000000000000e+01,8.800000000000000000e+01,1.740000000000000000e+02
7.900000000000000000e+01,7.000000000000000000e+01,4.030000000000000000e+02
7.300000000000000000e+01,8.100000000000000000e+01,4.030000000000000000e+02
8.000000000000000000e+01,7.600000000000000000e+01,4.030000000000000000e+02
8.100000000000000000e+01,7.700000000000000000e+01,4.030000000000000000e+02
7.400000000000000000e+01,7.700000000000000000e+01,4.030000000000000000e+02
8.200000000000000000e+01,7.900000000000000000e+01,4.050000000000000000e+02
7.500000000000000000e+01,7.000000000000000000e+01,4.040000000000000000e+02
1.190000000000000000e+02,7.900000000000000000e+01,7.000000000000000000e+01
7.500000000000000000e+01,7.100000000000000000e+01,4.030000000000000000e+02
1.340000000000000000e+02,7.700000000000000000e+01,8.300000000000000000e+01
8.800000000000000000e+01,7.700000000000000000e+01,2.500000000000000000e+02
7.900000000000000000e+01,8.700000000000000000e+01,1.740000000000000000e+02
1.340000000000000000e+02,7.300000000000000000e+01,7.000000000000000000e+01
7.800000000000000000e+01,7.700000000000000000e+01,4.030000000000000000e+02
8.700000000000000000e+01,7.900000000000000000e+01,1.770000000000000000e+02
7.600000000000000000e+01,7.000000000000000000e+01,4.040000000000000000e+02
1.190000000000000000e+02,7.300000000000000000e+01,7.000000000000000000e+01
7.800000000000000000e+01,7.800000000000000000e+01,4.030000000000000000e+02
7.500000000000000000e+01,7.200000000000000000e+01,4.030000000000000000e+02
7.900000000000000000e+01,7.600000000000000000e+01,4.030000000000000000e+02
7.900000000000000000e+01,8.900000000000000000e+01,1.740000000000000000e+02
7.300000000000000000e+01,7.300000000000000000e+01,4.030000000000000000e+02
7.300000000000000000e+01,7.100000000000000000e+01,4.030000000000000000e+02
8.100000000000000000e+01,7.800000000000000000e+01,4.030000000000000000e+02
1.340000000000000000e+02,7.800000000000000000e+01,8.200000000000000000e+01
8.100000000000000000e+01,7.300000000000000000e+01,4.030000000000000000e+02
7.600000000000000000e+01,7.600000000000000000e+01,4.030000000000000000e+02
8.000000000000000000e+01,7.200000000000000000e+01,4.030000000000000000e+02
7.500000000000000000e+01,7.300000000000000000e+01,4.030000000000000000e+02
8.000000000000000000e+01,7.100000000000000000e+01,4.050000000000000000e+02
1.190000000000000000e+02,7.800000000000000000e+01,7.000000000000000000e+01
8.100000000000000000e+01,7.600000000000000000e+01,4.030000000000000000e+02
8.800000000000000000e+01,7.500000000000000000e+01,2.510000000000000000e+02
7.900000000000000000e+01,8.100000000000000000e+01,4.030000000000000000e+02
1.340000000000000000e+02,7.800000000000000000e+01,6.800000000000000000e+01
8.700000000000000000e+01,7.900000000000000000e+01,1.960000000000000000e+02
8.700000000000000000e+01,8.100000000000000000e+01,1.800000000000000000e+02
8.000000000000000000e+01,7.100000000000000000e+01,4.050000000000000000e+02
8.100000000000000000e+01,7.300000000000000000e+01,4.030000000000000000e+02
7.900000000000000000e+01,8.200000000000000000e+01,4.030000000000000000e+02
8.000000000000000000e+01,7.200000000000000000e+01,4.040000000000000000e+02
1.190000000000000000e+02,7.800000000000000000e+01,7.000000000000000000e+01
7.800000000000000000e+01,7.000000000000000000e+01,4.050000000000000000e+02
1.190000000000000000e+02,7.900000000000000000e+01,8.200000000000000000e+01
7.600000000000000000e+01,7.900000000000000000e+01,4.030000000000000000e+02
8.800000000000000000e+01,7.600000000000000000e+01,2.670000000000000000e+02
8.000000000000000000e+01,7.200000000000000000e+01,4.030000000000000000e+02
8.100000000000000000e+01,7.200000000000000000e+01,4.030000000000000000e+02
7.400000000000000000e+01,7.100000000000000000e+01,4.030000000000000000e+02
1.190000000000000000e+02,8.300000000000000000e+01,7.100000000000000000e+01
7.500000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
1.340000000000000000e+02,7.800000000000000000e+01,6.700000000000000000e+01
4.500000000000000000e+01,1.440000000000000000e+02,4.490000000000000000e+02
7.800000000000000000e+01,7.700000000000000000e+01,4.030000000000000000e+02
8.800000000000000000e+01,7.300000000000000000e+01,1.740000000000000000e+02
8.100000000000000000e+01,7.900000000000000000e+01,4.030000000000000000e+02
8.800000000000000000e+01,7.400000000000000000e+01,1.830000000000000000e+02
8.100000000000000000e+01,7.600000000000000000e+01,4.030000000000000000e+02
7.400000000000000000e+01,7.100000000000000000e+01,4.030000000000000000e+02
8.800000000000000000e+01,7.600000000000000000e+01,1.750000000000000000e+02
8.100000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
7.900000000000000000e+01,7.800000000000000000e+01,4.030000000000000000e+02
7.800000000000000000e+01,7.000000000000000000e+01,4.030000000000000000e+02
7.400000000000000000e+01,7.900000000000000000e+01,4.030000000000000000e+02
7.900000000000000000e+01,8.000000000000000000e+01,4.030000000000000000e+02
6.600000000000000000e+01,1.500000000000000000e+02,4.480000000000000000e+02
7.400000000000000000e+01,7.000000000000000000e+01,4.040000000000000000e+02
8.100000000000000000e+01,7.600000000000000000e+01,4.030000000000000000e+02
8.100000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
8.800000000000000000e+01,7.800000000000000000e+01,1.890000000000000000e+02
8.000000000000000000e+01,7.100000000000000000e+01,4.050000000000000000e+02
7.800000000000000000e+01,7.800000000000000000e+01,4.030000000000000000e+02
7.900000000000000000e+01,7.200000000000000000e+01,4.030000000000000000e+02
1.180000000000000000e+02,8.100000000000000000e+01,7.100000000000000000e+01
1.340000000000000000e+02,7.800000000000000000e+01,6.800000000000000000e+01
1.340000000000000000e+02,7.700000000000000000e+01,8.400000000000000000e+01
8.000000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
1.340000000000000000e+02,7.300000000000000000e+01,7.000000000000000000e+01
7.900000000000000000e+01,8.100000000000000000e+01,4.030000000000000000e+02
8.000000000000000000e+01,7.900000000000000000e+01,4.030000000000000000e+02
7.500000000000000000e+01,7.100000000000000000e+01,4.030000000000000000e+02
7.900000000000000000e+01,8.100000000000000000e+01,4.070000000000000000e+02
7.700000000000000000e+01,7.900000000000000000e+01,4.030000000000000000e+02
1.190000000000000000e+02,7.900000000000000000e+01,8.100000000000000000e+01
7.800000000000000000e+01,7.000000000000000000e+01,4.040000000000000000e+02
7.900000000000000000e+01,7.200000000000000000e+01,4.030000000000000000e+02
8.100000000000000000e+01,8.000000000000000000e+01,4.040000000000000000e+02
1.190000000000000000e+02,8.000000000000000000e+01,7.100000000000000000e+01
8.100000000000000000e+01,7.400000000000000000e+01,4.030000000000000000e+02
7.500000000000000000e+01,7.800000000000000000e+01,4.030000000000000000e+02
7.900000000000000000e+01,7.700000000000000000e+01,4.030000000000000000e+02
7.800000000000000000e+01,7.000000000000000000e+01,4.040000000000000000e+02
7.500000000000000000e+01,7.700000000000000000e+01,4.030000000000000000e+02
7.800000000000000000e+01,8.000000000000000000e+01,4.030000000000000000e+02
1.340000000000000000e+02,7.600000000000000000e+01,6.900000000000000000e+01
8.000000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
8.000000000000000000e+01,7.300000000000000000e+01,4.030000000000000000e+02
7.600000000000000000e+01,7.000000000000000000e+01,4.030000000000000000e+02
1.340000000000000000e+02,7.300000000000000000e+01,7.000000000000000000e+01
7.900000000000000000e+01,7.100000000000000000e+01,4.030000000000000000e+02
8.900000000000000000e+01,7.500000000000000000e+01,1.740000000000000000e+02
7.500000000000000000e+01,7.500000000000000000e+01,4.030000000000000000e+02
8.900000000000000000e+01,7.800000000000000000e+01,2.500000000000000000e+02
