x,y,z
204,64,72
204,64,73
204,64,74
204,64,75
204,64,76
204,64,77
204,64,78
204,64,79
204,64,80
204,64,81
204,65,69
204,65,70
204,65,71
204,65,72
204,65,73
204,65,74
204,65,75
204,65,76
204,65,77
204,65,78
204,65,79
204,65,80
204,65,81
204,65,82
204,65,83
204,66,68
204,66,69
204,66,70
204,66,71
204,66,72
204,66,81
204,66,82
204,66,83
204,66,84
204,67,67
204,67,68
204,67,69
204,67,70
204,67,71
204,67,82
204,67,83
204,67,84
204,67,85
204,68,66
204,68,67
204,68,68
204,68,84
204,68,85
204,68,86
204,69,65
204,69,66
204,69,67
204,69,68
204,69,85
204,69,86
204,69,87
204,70,65
204,70,66
204,70,67
204,70,85
204,70,86
204,70,87
204,70,88
204,71,65
204,71,66
204,71,86
204,71,87
204,71,88
204,72,64
204,72,65
204,72,66
204,72,87
204,72,88
204,73,64
204,73,65
204,73,66
204,73,87
204,73,88
204,74,64
204,74,65
204,74,87
204,74,88
204,74,89
204,75,64
204,75,65
204,75,88
204,75,89
204,76,64
204,76,65
204,76,88
204,76,89
204,77,64
204,77,65
204,77,88
204,77,89
204,78,64
204,78,65
204,78,87
204,78,88
204,78,89
204,79,64
204,79,65
204,79,87
204,79,88
204,79,89
204,80,64
204,80,65
204,80,66
204,80,87
204,80,88
204,81,64
204,81,65
204,81,66
204,81,86
204,81,87
204,81,88
204,82,65
204,82,66
204,82,67
204,82,86
204,82,87
204,82,88
204,83,65
204,83,66
204,83,67
204,83,85
204,83,86
204,83,87
204,84,66
204,84,67
204,84,68
204,84,84
204,84,85
204,84,86
204,84,87
204,85,67
204,85,68
204,85,69
204,85,83
204,85,84
204,85,85
204,85,86
204,86,67
204,86,68
204,86,69
204,86,70
204,86,71
204,86,82
204,86,83
204,86,84
204,86,85
204,87,68
204,87,69
204,87,70
204,87,71
204,87,72
204,87,73
204,87,74
204,87,79
204,87,80
204,87,81
204,87,82
204,87,83
204,87,84
204,88,70
204,88,71
204,88,72
204,88,73
204,88,74
204,88,75
204,88,76
204,88,77
204,88,78
204,88,79
204,88,80
204,88,81
204,88,82
204,89,73
204,89,74
204,89,75
204,89,76
204,89,77
204,89,78
204,89,79
204,89,80
205,64,72
205,64,73
205,64,74
205,64,75
205,64,76
205,64,77
205,64,78
205,64,79
205,64,80
205,64,81
205,65,69
205,65,70
205,65,71
205,65,72
205,65,73
205,65,74
205,65,75
205,65,76
205,65,77
205,65,78
205,65,79
205,65,80
205,65,81
205,65,82
205,65,83
205,66,68
205,66,69
205,66,70
205,66,71
205,66,72
205,66,81
205,66,82
205,66,83
205,66,84
205,67,67
205,67,68
205,67,69
205,67,70
205,67,71
205,67,82
205,67,83
205,67,84
205,67,85
205,68,66
205,68,67
205,68,68
205,68,84
205,68,85
205,68,86
205,69,65
205,69,66
205,69,67
205,69,68
