x,y,z,V
140.0000,50.0000,52.0000,0.00024655
140.0000,50.0000,54.5000,0.00024165
140.0000,50.0000,57.0000,0.00023857
140.0000,50.0000,59.5000,0.00023840
140.0000,50.0000,62.0000,0.00023960
140.0000,50.0000,64.5000,0.00024091
140.0000,50.0000,67.0000,0.00024320
140.0000,50.0000,69.5000,0.00024478
140.0000,50.0000,72.0000,0.00024684
140.0000,50.0000,74.5000,0.00024776
140.0000,50.0000,77.0000,0.00024808
140.0000,50.0000,79.5000,0.00024755
140.0000,50.0000,82.0000,0.00024590
140.0000,50.0000,84.5000,0.00024451
140.0000,50.0000,87.0000,0.00024238
140.0000,50.0000,89.5000,0.00024113
140.0000,50.0000,92.0000,0.00023985
140.0000,50.0000,94.5000,0.00023979
140.0000,50.0000,97.0000,0.00024201
140.0000,50.0000,99.5000,0.00024604
140.0000,50.0000,102.0000,0.00025689
140.0000,52.5000,52.0000,0.00025047
140.0000,52.5000,54.5000,0.00024512
140.0000,52.5000,57.0000,0.00024157
140.0000,52.5000,59.5000,0.00024119
140.0000,52.5000,62.0000,0.00024223
140.0000,52.5000,64.5000,0.00024356
140.0000,52.5000,67.0000,0.00024613
140.0000,52.5000,69.5000,0.00024809
140.0000,52.5000,72.0000,0.00025092
140.0000,52.5000,74.5000,0.00025224
140.0000,52.5000,77.0000,0.00025267
140.0000,52.5000,79.5000,0.00025185
140.0000,52.5000,82.0000,0.00024945
140.0000,52.5000,84.5000,0.00024759
140.0000,52.5000,87.0000,0.00024507
140.0000,52.5000,89.5000,0.00024373
140.0000,52.5000,92.0000,0.00024253
140.0000,52.5000,94.5000,0.00024263
140.0000,52.5000,97.0000,0.00024528
140.0000,52.5000,99.5000,0.00024970
140.0000,52.5000,102.0000,0.00026133
140.0000,55.0000,52.0000,0.00025641
140.0000,55.0000,54.5000,0.00025052
140.0000,55.0000,57.0000,0.00024639
140.0000,55.0000,59.5000,0.00024577
140.0000,55.0000,62.0000,0.00024670
140.0000,55.0000,64.5000,0.00024817
140.0000,55.0000,67.0000,0.00025148
140.0000,55.0000,69.5000,0.00025444
140.0000,55.0000,72.0000,0.00025935
140.0000,55.0000,74.5000,0.00026177
140.0000,55.0000,77.0000,0.00026250
140.0000,55.0000,79.5000,0.00026089
140.0000,55.0000,82.0000,0.00025644
140.0000,55.0000,84.5000,0.00025336
140.0000,55.0000,87.0000,0.00024981
140.0000,55.0000,89.5000,0.00024821
140.0000,55.0000,92.0000,0.00024701
140.0000,55.0000,94.5000,0.00024729
140.0000,55.0000,97.0000,0.00025042
140.0000,55.0000,99.5000,0.00025533
140.0000,55.0000,102.0000,0.00026795
140.0000,57.5000,52.0000,0.00026020
140.0000,57.5000,54.5000,0.00025400
140.0000,57.5000,57.0000,0.00024954
140.0000,57.5000,59.5000,0.00024880
140.0000,57.5000,62.0000,0.00024970
140.0000,57.5000,64.5000,0.00025131
140.0000,57.5000,67.0000,0.00025522
140.0000,57.5000,69.5000,0.00025897
140.0000,57.5000,72.0000,0.00026555
140.0000,57.5000,74.5000,0.00026888
140.0000,57.5000,77.0000,0.00026986
140.0000,57.5000,79.5000,0.00026759
140.0000,57.5000,82.0000,0.00026148
140.0000,57.5000,84.5000,0.00025744
140.0000,57.5000,87.0000,0.00025307
140.0000,57.5000,89.5000,0.00025124
140.0000,57.5000,92.0000,0.00024999
140.0000,57.5000,94.5000,0.00025035
140.0000,57.5000,97.0000,0.00025376
140.0000,57.5000,99.5000,0.00025894
140.0000,57.5000,102.0000,0.00027212
140.0000,60.0000,52.0000,0.00026537
140.0000,60.0000,54.5000,0.00025876
140.0000,60.0000,57.0000,0.00025390
140.0000,60.0000,59.5000,0.00025300
140.0000,60.0000,62.0000,0.00025390
140.0000,60.0000,64.5000,0.00025571
140.0000,60.0000,67.0000,0.00026041
140.0000,60.0000,69.5000,0.00026515
140.0000,60.0000,72.0000,0.00027374
140.0000,60.0000,74.5000,0.00027817
140.0000,60.0000,77.0000,0.00027946
140.0000,60.0000,79.5000,0.00027640
140.0000,60.0000,82.0000,0.00026829
140.0000,60.0000,84.5000,0.00026306
