x,y,z,V
140.0000,50.0000,52.0000,0.00955495
140.0000,50.0000,54.5000,0.00858184
140.0000,50.0000,57.0000,0.00798087
140.0000,50.0000,59.5000,0.00803042
140.0000,50.0000,62.0000,0.00861043
140.0000,50.0000,64.5000,0.00929247
140.0000,50.0000,67.0000,0.01073031
140.0000,50.0000,69.5000,0.01191082
140.0000,50.0000,72.0000,0.01368518
140.0000,50.0000,74.5000,0.01452619
140.0000,50.0000,77.0000,0.01475733
140.0000,50.0000,79.5000,0.01416439
140.0000,50.0000,82.0000,0.01253418
140.0000,50.0000,84.5000,0.01131397
140.0000,50.0000,87.0000,0.00973135
140.0000,50.0000,89.5000,0.00893895
140.0000,50.0000,92.0000,0.00818267
140.0000,50.0000,94.5000,0.00799303
140.0000,50.0000,97.0000,0.00831004
140.0000,50.0000,99.5000,0.00904919
140.0000,50.0000,102.0000,0.01099723
140.0000,52.5000,52.0000,0.00938876
140.0000,52.5000,54.5000,0.00834357
140.0000,52.5000,57.0000,0.00770034
140.0000,52.5000,59.5000,0.00777780
140.0000,52.5000,62.0000,0.00852406
140.0000,52.5000,64.5000,0.00944307
140.0000,52.5000,67.0000,0.01153855
140.0000,52.5000,69.5000,0.01341494
140.0000,52.5000,72.0000,0.01646268
140.0000,52.5000,74.5000,0.01797310
140.0000,52.5000,77.0000,0.01839137
140.0000,52.5000,79.5000,0.01731696
140.0000,52.5000,82.0000,0.01445328
140.0000,52.5000,84.5000,0.01244362
140.0000,52.5000,87.0000,0.01005378
140.0000,52.5000,89.5000,0.00895427
140.0000,52.5000,92.0000,0.00796489
140.0000,52.5000,94.5000,0.00771858
140.0000,52.5000,97.0000,0.00804639
140.0000,52.5000,99.5000,0.00884117
140.0000,52.5000,102.0000,0.01092470
140.0000,55.0000,52.0000,0.00936115
140.0000,55.0000,54.5000,0.00826479
140.0000,55.0000,57.0000,0.00764492
140.0000,55.0000,59.5000,0.00782986
140.0000,55.0000,62.0000,0.00896378
140.0000,55.0000,64.5000,0.01039607
140.0000,55.0000,67.0000,0.01396925
140.0000,55.0000,69.5000,0.01754258
140.0000,55.0000,72.0000,0.02398070
140.0000,55.0000,74.5000,0.02733576
140.0000,55.0000,77.0000,0.02826992
140.0000,55.0000,79.5000,0.02586791
140.0000,55.0000,82.0000,0.01965440
140.0000,55.0000,84.5000,0.01564170
140.0000,55.0000,87.0000,0.01138301
140.0000,55.0000,89.5000,0.00961565
140.0000,55.0000,92.0000,0.00810823
140.0000,55.0000,94.5000,0.00770422
140.0000,55.0000,97.0000,0.00795854
140.0000,55.0000,99.5000,0.00878010
140.0000,55.0000,102.0000,0.01098109
140.0000,57.5000,52.0000,0.00942638
140.0000,57.5000,54.5000,0.00832163
140.0000,57.5000,57.0000,0.00775420
140.0000,57.5000,59.5000,0.00803693
140.0000,57.5000,62.0000,0.00948146
140.0000,57.5000,64.5000,0.01131362
140.0000,57.5000,67.0000,0.01605186
140.0000,57.5000,69.5000,0.02100196
140.0000,57.5000,72.0000,0.03027928
140.0000,57.5000,74.5000,0.03520287
140.0000,57.5000,77.0000,0.03657687
140.0000,57.5000,79.5000,0.03304389
140.0000,57.5000,82.0000,0.02400291
140.0000,57.5000,84.5000,0.01834224
140.0000,57.5000,87.0000,0.01259454
140.0000,57.5000,89.5000,0.01030649
140.0000,57.5000,92.0000,0.00839122
140.0000,57.5000,94.5000,0.00785378
140.0000,57.5000,97.0000,0.00802199
140.0000,57.5000,99.5000,0.00883641
140.0000,57.5000,102.0000,0.01107605
140.0000,60.0000,52.0000,0.00958207
140.0000,60.0000,54.5000,0.00848773
140.0000,60.0000,57.0000,0.00802482
140.0000,60.0000,59.5000,0.00846477
140.0000,60.0000,62.0000,0.01037380
140.0000,60.0000,64.5000,0.01278021
140.0000,60.0000,67.0000,0.01912488
140.0000,60.0000,69.5000,0.02589649
140.0000,60.0000,72.0000,0.03880532
140.0000,60.0000,74.5000,0.04572554
140.0000,60.0000,77.0000,0.04766249
140.0000,60.0000,79.5000,0.04268518
140.0000,60.0000,82.0000,0.03004582
140.0000,60.0000,84.5000,0.02224086
140.0000,60.0000,87.0000,0.01447430
140.0000,60.0000,89.5000,0.01144979
140.0000,60.0000,92.0000,0.00893562
140.0000,60.0000,94.5000,0.00819112
140.0000,60.0000,97.0000,0.00820814
140.0000,60.0000,99.5000,0.00899113
140.0000,60.0000,102.0000,0.01125070
140.0000,62.5000,52.0000,0.00969998
140.0000,62.5000,54.5000,0.00862094
140.0000,62.5000,57.0000,0.00823157
140.0000,62.5000,59.5000,0.00876999
140.0000,62.5000,62.0000,0.01095166
140.0000,62.5000,64.5000,0.01367702
140.0000,62.5000,67.0000,0.02085486
140.0000,62.5000,69.5000,0.02850773
140.0000,62.5000,72.0000,0.04307793
140.0000,62.5000,74.5000,0.05089453
140.0000,62.5000,77.0000,0.05308447
140.0000,62.5000,79.5000,0.04745857
140.0000,62.5000,82.0000,0.03319158
140.0000,62.5000,84.5000,0.02437654
140.0000,62.5000,87.0000,0.01559242
140.0000,62.5000,89.5000,0.01216896
140.0000,62.5000,92.0000,0.00931117
140.0000,62.5000,94.5000,0.00844051
140.0000,62.5000,97.0000,0.00835752
140.0000,62.5000,99.5000,0.00911325
140.0000,62.5000,102.0000,0.01137032
140.0000,65.0000,52.0000,0.00987156
140.0000,65.0000,54.5000,0.00881933
140.0000,65.0000,57.0000,0.00853063
140.0000,65.0000,59.5000,0.00919370
140.0000,65.0000,62.0000,0.01170010
140.0000,65.0000,64.5000,0.01478349
140.0000,65.0000,67.0000,0.02283135
140.0000,65.0000,69.5000,0.03134282
140.0000,65.0000,72.0000,0.04744636
140.0000,65.0000,74.5000,0.05606989
140.0000,65.0000,77.0000,0.05848662
140.0000,65.0000,79.5000,0.05227863
140.0000,65.0000,82.0000,0.03652865
140.0000,65.0000,84.5000,0.02675413
140.0000,65.0000,87.0000,0.01693772
140.0000,65.0000,89.5000,0.01307835
140.0000,65.0000,92.0000,0.00982092
140.0000,65.0000,94.5000,0.00879434
140.0000,65.0000,97.0000,0.00857959
140.0000,65.0000,99.5000,0.00929412
140.0000,65.0000,102.0000,0.01153597
140.0000,67.5000,52.0000,0.00997286
140.0000,67.5000,54.5000,0.00893776
140.0000,67.5000,57.0000,0.00870486
