x,y,z,V
140.0000,50.0000,52.0000,0.00003439
140.0000,50.0000,54.5000,0.00003587
140.0000,50.0000,57.0000,0.00003949
140.0000,50.0000,59.5000,0.00004275
140.0000,50.0000,62.0000,0.00004878
140.0000,50.0000,64.5000,0.00005356
140.0000,50.0000,67.0000,0.00006198
140.0000,50.0000,69.5000,0.00006850
140.0000,50.0000,72.0000,0.00007981
140.0000,50.0000,74.5000,0.00008849
140.0000,50.0000,77.0000,0.00010354
140.0000,50.0000,79.5000,0.00011526
140.0000,50.0000,82.0000,0.00013627
140.0000,50.0000,84.5000,0.00015338
140.0000,50.0000,87.0000,0.00018567
140.0000,50.0000,89.5000,0.00021334
140.0000,50.0000,92.0000,0.00026876
140.0000,50.0000,94.5000,0.00031956
140.0000,50.0000,97.0000,0.00042972
140.0000,50.0000,99.5000,0.00053740
140.0000,50.0000,102.0000,0.00076846
140.0000,52.5000,52.0000,0.00003227
140.0000,52.5000,54.5000,0.00003362
140.0000,52.5000,57.0000,0.00003697
140.0000,52.5000,59.5000,0.00003999
140.0000,52.5000,62.0000,0.00004562
140.0000,52.5000,64.5000,0.00005012
140.0000,52.5000,67.0000,0.00005812
140.0000,52.5000,69.5000,0.00006439
140.0000,52.5000,72.0000,0.00007532
140.0000,52.5000,74.5000,0.00008369
140.0000,52.5000,77.0000,0.00009806
140.0000,52.5000,79.5000,0.00010916
140.0000,52.5000,82.0000,0.00012910
140.0000,52.5000,84.5000,0.00014549
140.0000,52.5000,87.0000,0.00017683
140.0000,52.5000,89.5000,0.00020397
140.0000,52.5000,92.0000,0.00025880
140.0000,52.5000,94.5000,0.00030936
140.0000,52.5000,97.0000,0.00041938
140.0000,52.5000,99.5000,0.00052708
140.0000,52.5000,102.0000,0.00075848
140.0000,55.0000,52.0000,0.00002999
140.0000,55.0000,54.5000,0.00003126
140.0000,55.0000,57.0000,0.00003438
140.0000,55.0000,59.5000,0.00003719
140.0000,55.0000,62.0000,0.00004248
140.0000,55.0000,64.5000,0.00004677
140.0000,55.0000,67.0000,0.00005454
140.0000,55.0000,69.5000,0.00006076
140.0000,55.0000,72.0000,0.00007179
140.0000,55.0000,74.5000,0.00008013
140.0000,55.0000,77.0000,0.00009403
140.0000,55.0000,79.5000,0.00010446
140.0000,55.0000,82.0000,0.00012303
140.0000,55.0000,84.5000,0.00013856
140.0000,55.0000,87.0000,0.00016895
140.0000,55.0000,89.5000,0.00019568
140.0000,55.0000,92.0000,0.00025019
