x,y,z,V
140.0000,50.0000,52.0000,0.00000707
140.0000,50.0000,54.5000,0.00000754
140.0000,50.0000,57.0000,0.00000850
140.0000,50.0000,59.5000,0.00000932
140.0000,50.0000,62.0000,0.00001081
140.0000,50.0000,64.5000,0.00001200
140.0000,50.0000,67.0000,0.00001412
140.0000,50.0000,69.5000,0.00001579
140.0000,50.0000,72.0000,0.00001874
140.0000,50.0000,74.5000,0.00002104
140.0000,50.0000,77.0000,0.00002510
140.0000,50.0000,79.5000,0.00002831
140.0000,50.0000,82.0000,0.00003417
140.0000,50.0000,84.5000,0.00003900
140.0000,50.0000,87.0000,0.00004819
140.0000,50.0000,89.5000,0.00005610
140.0000,50.0000,92.0000,0.00007189
140.0000,50.0000,94.5000,0.00008623
140.0000,50.0000,97.0000,0.00011679
140.0000,50.0000,99.5000,0.00014616
140.0000,50.0000,102.0000,0.00020865
140.0000,52.5000,52.0000,0.00000710
140.0000,52.5000,54.5000,0.00000756
140.0000,52.5000,57.0000,0.00000852
140.0000,52.5000,59.5000,0.00000935
140.0000,52.5000,62.0000,0.00001086
140.0000,52.5000,64.5000,0.00001207
140.0000,52.5000,67.0000,0.00001425
140.0000,52.5000,69.5000,0.00001598
140.0000,52.5000,72.0000,0.00001903
140.0000,52.5000,74.5000,0.00002141
140.0000,52.5000,77.0000,0.00002554
140.0000,52.5000,79.5000,0.00002878
140.0000,52.5000,82.0000,0.00003467
140.0000,52.5000,84.5000,0.00003955
140.0000,52.5000,87.0000,0.00004893
140.0000,52.5000,89.5000,0.00005705
140.0000,52.5000,92.0000,0.00007335
140.0000,52.5000,94.5000,0.00008821
140.0000,52.5000,97.0000,0.00012000
140.0000,52.5000,99.5000,0.00015060
140.0000,52.5000,102.0000,0.00021582
140.0000,55.0000,52.0000,0.00000717
140.0000,55.0000,54.5000,0.00000764
140.0000,55.0000,57.0000,0.00000863
140.0000,55.0000,59.5000,0.00000947
140.0000,55.0000,62.0000,0.00001103
140.0000,55.0000,64.5000,0.00001230
140.0000,55.0000,67.0000,0.00001460
140.0000,55.0000,69.5000,0.00001647
140.0000,55.0000,72.0000,0.00001981
140.0000,55.0000,74.5000,0.00002236
140.0000,55.0000,77.0000,0.00002668
140.0000,55.0000,79.5000,0.00002995
140.0000,55.0000,82.0000,0.00003583
140.0000,55.0000,84.5000,0.00004077
140.0000,55.0000,87.0000,0.00005043
140.0000,55.0000,89.5000,0.00005889
140.0000,55.0000,92.0000,0.00007599
140.0000,55.0000,94.5000,0.00009164
140.0000,55.0000,97.0000,0.00012521
140.0000,55.0000,99.5000,0.00015758
140.0000,55.0000,102.0000,0.00022665
140.0000,57.5000,52.0000,0.00000724
140.0000,57.5000,54.5000,0.00000772
140.0000,57.5000,57.0000,0.00000872
140.0000,57.5000,59.5000,0.00000958
140.0000,57.5000,62.0000,0.00001118
140.0000,57.5000,64.5000,0.00001248
140.0000,57.5000,67.0000,0.00001489
140.0000,57.5000,69.5000,0.00001687
140.0000,57.5000,72.0000,0.00002043
140.0000,57.5000,74.5000,0.00002314
140.0000,57.5000,77.0000,0.00002759
140.0000,57.5000,79.5000,0.00003088
140.0000,57.5000,82.0000,0.00003674
140.0000,57.5000,84.5000,0.00004170
140.0000,57.5000,87.0000,0.00005154
140.0000,57.5000,89.5000,0.00006023
140.0000,57.5000,92.0000,0.00007784
140.0000,57.5000,94.5000,0.00009400
140.0000,57.5000,97.0000,0.00012870
140.0000,57.5000,99.5000,0.00016217
140.0000,57.5000,102.0000,0.00023363
140.0000,60.0000,52.0000,0.00000735
140.0000,60.0000,54.5000,0.00000784
140.0000,60.0000,57.0000,0.00000887
140.0000,60.0000,59.5000,0.00000976
140.0000,60.0000,62.0000,0.00001142
140.0000,60.0000,64.5000,0.00001278
140.0000,60.0000,67.0000,0.00001534
140.0000,60.0000,69.5000,0.00001746
140.0000,60.0000,72.0000,0.00002132
140.0000,60.0000,74.5000,0.00002422
140.0000,60.0000,77.0000,0.00002886
140.0000,60.0000,79.5000,0.00003219
140.0000,60.0000,82.0000,0.00003807
140.0000,60.0000,84.5000,0.00004310
140.0000,60.0000,87.0000,0.00005321
140.0000,60.0000,89.5000,0.00006221
140.0000,60.0000,92.0000,0.00008056
140.0000,60.0000,94.5000,0.00009743
140.0000,60.0000,97.0000,0.00013368
140.0000,60.0000,99.5000,0.00016867
140.0000,60.0000,102.0000,0.00024340
140.0000,62.5000,52.0000,0.00000742
140.0000,62.5000,54.5000,0.00000792
140.0000,62.5000,57.0000,0.00000897
140.0000,62.5000,59.5000,0.00000988
140.0000,62.5000,62.0000,0.00001157
140.0000,62.5000,64.5000,0.00001298
140.0000,62.5000,67.0000,0.00001561
140.0000,62.5000,69.5000,0.00001781
140.0000,62.5000,72.0000,0.00002183
140.0000,62.5000,74.5000,0.00002482
140.0000,62.5000,77.0000,0.00002957
140.0000,62.5000,79.5000,0.00003294
140.0000,62.5000,82.0000,0.00003887
140.0000,62.5000,84.5000,0.00004395
140.0000,62.5000,87.0000,0.00005425
140.0000,62.5000,89.5000,0.00006345
140.0000,62.5000,92.0000,0.00008224
140.0000,62.5000,94.5000,0.00009953
140.0000,62.5000,97.0000,0.00013672
140.0000,62.5000,99.5000,0.00017260
140.0000,62.5000,102.0000,0.00024927
140.0000,65.0000,52.0000,0.00000752
140.0000,65.0000,54.5000,0.00000803
140.0000,65.0000,57.0000,0.00000911
140.0000,65.0000,59.5000,0.00001004
140.0000,65.0000,62.0000,0.00001178
140.0000,65.0000,64.5000,0.00001323
140.0000,65.0000,67.0000,0.00001596
140.0000,65.0000,69.5000,0.00001826
140.0000,65.0000,72.0000,0.00002243
140.0000,65.0000,74.5000,0.00002554
140.0000,65.0000,77.0000,0.00003042
140.0000,65.0000,79.5000,0.00003386
140.0000,65.0000,82.0000,0.00003988
140.0000,65.0000,84.5000,0.00004507
140.0000,65.0000,87.0000,0.00005563
