x,y,z,V
50.0000,50.0000,130.0000,0.00058597
50.0000,50.0000,132.5000,0.00030602
50.0000,50.0000,135.0000,0.00039327
50.0000,50.0000,137.5000,0.00059811
50.0000,50.0000,140.0000,0.00081041
50.0000,50.0000,142.5000,0.00090093
50.0000,50.0000,145.0000,0.00097939
50.0000,50.0000,147.5000,0.00100232
50.0000,50.0000,150.0000,0.00100462
50.0000,50.0000,152.5000,0.00099017
50.0000,50.0000,155.0000,0.00095166
50.0000,50.0000,157.5000,0.00091792
50.0000,50.0000,160.0000,0.00085942
50.0000,50.0000,162.5000,0.00081701
50.0000,50.0000,165.0000,0.00075081
50.0000,50.0000,167.5000,0.00070610
50.0000,50.0000,170.0000,0.00063972
50.0000,50.0000,172.5000,0.00059663
50.0000,50.0000,175.0000,0.00053465
50.0000,50.0000,177.5000,0.00049550
50.0000,50.0000,180.0000,0.00044049
50.0000,50.0000,182.5000,0.00040643
50.0000,50.0000,185.0000,0.00035934
50.0000,50.0000,187.5000,0.00033059
50.0000,50.0000,190.0000,0.00029129
50.0000,50.0000,192.5000,0.00026751
50.0000,50.0000,195.0000,0.00023522
50.0000,50.0000,197.5000,0.00021579
50.0000,50.0000,200.0000,0.00018948
50.0000,50.0000,202.5000,0.00017368
50.0000,50.0000,205.0000,0.00015232
50.0000,50.0000,207.5000,0.00013949
50.0000,50.0000,210.0000,0.00012216
50.0000,50.0000,212.5000,0.00011177
50.0000,50.0000,215.0000,0.00009774
50.0000,50.0000,217.5000,0.00008935
50.0000,50.0000,220.0000,0.00007805
50.0000,50.0000,222.5000,0.00007131
50.0000,50.0000,225.0000,0.00006226
50.0000,50.0000,227.5000,0.00005687
50.0000,50.0000,230.0000,0.00004966
50.0000,50.0000,232.5000,0.00004537
50.0000,50.0000,235.0000,0.00003963
50.0000,50.0000,237.5000,0.00003622
50.0000,50.0000,240.0000,0.00003166
50.0000,50.0000,242.5000,0.00002894
50.0000,50.0000,245.0000,0.00002530
50.0000,50.0000,247.5000,0.00002313
50.0000,50.0000,250.0000,0.00002022
50.0000,50.0000,252.5000,0.00001848
50.0000,50.0000,255.0000,0.00001616
50.0000,50.0000,257.5000,0.00001478
50.0000,50.0000,260.0000,0.00001294
50.0000,50.0000,262.5000,0.00001185
50.0000,50.0000,265.0000,0.00001040
50.0000,50.0000,267.5000,0.00000954
50.0000,50.0000,270.0000,0.00000840
50.0000,50.0000,272.5000,0.00000773
50.0000,50.0000,275.0000,0.00000685
50.0000,50.0000,277.5000,0.00000633
50.0000,50.0000,280.0000,0.00000564
50.0000,50.0000,282.5000,0.00000523
50.0000,50.0000,285.0000,0.00000469
50.0000,50.0000,287.5000,0.00000437
50.0000,50.0000,290.0000,0.00000393
50.0000,50.0000,292.5000,0.00000368
50.0000,50.0000,295.0000,0.00000333
50.0000,50.0000,297.5000,0.00000312
50.0000,50.0000,300.0000,0.00000283
50.0000,50.0000,302.5000,0.00000266
50.0000,50.0000,305.0000,0.00000242
50.0000,50.0000,307.5000,0.00000227
50.0000,50.0000,310.0000,0.00000207
50.0000,50.0000,312.5000,0.00000195
50.0000,50.0000,315.0000,0.00000178
50.0000,50.0000,317.5000,0.00000167
50.0000,50.0000,320.0000,0.00000153
50.0000,50.0000,322.5000,0.00000144
50.0000,50.0000,325.0000,0.00000131
50.0000,50.0000,327.5000,0.00000124
50.0000,50.0000,330.0000,0.00000113
50.0000,50.0000,332.5000,0.00000106
50.0000,50.0000,335.0000,0.00000097
50.0000,50.0000,337.5000,0.00000091
50.0000,50.0000,340.0000,0.00000083
50.0000,50.0000,342.5000,0.00000078
50.0000,50.0000,345.0000,0.00000071
50.0000,50.0000,347.5000,0.00000067
50.0000,50.0000,350.0000,0.00000061
50.0000,50.0000,352.5000,0.00000057
50.0000,50.0000,355.0000,0.00000052
50.0000,50.0000,357.5000,0.00000049
50.0000,50.0000,360.0000,0.00000044
50.0000,50.0000,362.5000,0.00000042
50.0000,50.0000,365.0000,0.00000038
50.0000,50.0000,367.5000,0.00000035
50.0000,50.0000,370.0000,0.00000032
50.0000,50.0000,372.5000,0.00000030
50.0000,50.0000,375.0000,0.00000027
50.0000,50.0000,377.5000,0.00000025
50.0000,50.0000,380.0000,0.00000023
50.0000,50.0000,382.5000,0.00000022
50.0000,50.0000,385.0000,0.00000019
50.0000,50.0000,387.5000,0.00000018
50.0000,50.0000,390.0000,0.00000016
50.0000,50.0000,392.5000,0.00000015
50.0000,50.0000,395.0000,0.00000014
50.0000,50.0000,397.5000,0.00000013
