x,y,z,V
140.0000,50.0000,52.0000,0.00029778
140.0000,50.0000,54.5000,0.00031571
140.0000,50.0000,57.0000,0.00035436
140.0000,50.0000,59.5000,0.00038762
140.0000,50.0000,62.0000,0.00044867
140.0000,50.0000,64.5000,0.00049732
140.0000,50.0000,67.0000,0.00058388
140.0000,50.0000,69.5000,0.00065196
140.0000,50.0000,72.0000,0.00077207
140.0000,50.0000,74.5000,0.00086577
140.0000,50.0000,77.0000,0.00103109
140.0000,50.0000,79.5000,0.00116204
140.0000,50.0000,82.0000,0.00140106
140.0000,50.0000,84.5000,0.00159867
140.0000,50.0000,87.0000,0.00197643
140.0000,50.0000,89.5000,0.00230300
140.0000,50.0000,92.0000,0.00296038
140.0000,50.0000,94.5000,0.00356326
140.0000,50.0000,97.0000,0.00486572
140.0000,50.0000,99.5000,0.00613266
140.0000,50.0000,102.0000,0.00884977
140.0000,52.5000,52.0000,0.00029263
140.0000,52.5000,54.5000,0.00031015
140.0000,52.5000,57.0000,0.00034800
140.0000,52.5000,59.5000,0.00038067
140.0000,52.5000,62.0000,0.00044093
140.0000,52.5000,64.5000,0.00048924
140.0000,52.5000,67.0000,0.00057590
140.0000,52.5000,69.5000,0.00064462
140.0000,52.5000,72.0000,0.00076630
140.0000,52.5000,74.5000,0.00086073
140.0000,52.5000,77.0000,0.00102546
140.0000,52.5000,79.5000,0.00115467
140.0000,52.5000,82.0000,0.00139011
140.0000,52.5000,84.5000,0.00158599
140.0000,52.5000,87.0000,0.00196406
140.0000,52.5000,89.5000,0.00229347
140.0000,52.5000,92.0000,0.00296067
140.0000,52.5000,94.5000,0.00357540
140.0000,52.5000,97.0000,0.00490781
140.0000,52.5000,99.5000,0.00620630
140.0000,52.5000,102.0000,0.00899552
140.0000,55.0000,52.0000,0.00028857
140.0000,55.0000,54.5000,0.00030597
140.0000,55.0000,57.0000,0.00034352
140.0000,55.0000,59.5000,0.00037603
140.0000,55.0000,62.0000,0.00043643
