x,y,z,V
140.0000,50.0000,52.0000,0.00000122
140.0000,50.0000,54.5000,0.00000129
140.0000,50.0000,57.0000,0.00000146
140.0000,50.0000,59.5000,0.00000160
140.0000,50.0000,62.0000,0.00000186
140.0000,50.0000,64.5000,0.00000206
140.0000,50.0000,67.0000,0.00000243
140.0000,50.0000,69.5000,0.00000272
140.0000,50.0000,72.0000,0.00000322
140.0000,50.0000,74.5000,0.00000362
140.0000,50.0000,77.0000,0.00000432
140.0000,50.0000,79.5000,0.00000487
140.0000,50.0000,82.0000,0.00000588
140.0000,50.0000,84.5000,0.00000671
140.0000,50.0000,87.0000,0.00000829
140.0000,50.0000,89.5000,0.00000965
140.0000,50.0000,92.0000,0.00001237
140.0000,50.0000,94.5000,0.00001483
140.0000,50.0000,97.0000,0.00002008
140.0000,50.0000,99.5000,0.00002513
140.0000,50.0000,102.0000,0.00003587
140.0000,52.5000,52.0000,0.00000122
140.0000,52.5000,54.5000,0.00000130
140.0000,52.5000,57.0000,0.00000146
140.0000,52.5000,59.5000,0.00000161
140.0000,52.5000,62.0000,0.00000187
140.0000,52.5000,64.5000,0.00000208
140.0000,52.5000,67.0000,0.00000245
140.0000,52.5000,69.5000,0.00000275
140.0000,52.5000,72.0000,0.00000327
140.0000,52.5000,74.5000,0.00000368
140.0000,52.5000,77.0000,0.00000439
140.0000,52.5000,79.5000,0.00000495
140.0000,52.5000,82.0000,0.00000596
140.0000,52.5000,84.5000,0.00000680
140.0000,52.5000,87.0000,0.00000842
140.0000,52.5000,89.5000,0.00000981
140.0000,52.5000,92.0000,0.00001262
140.0000,52.5000,94.5000,0.00001517
140.0000,52.5000,97.0000,0.00002063
140.0000,52.5000,99.5000,0.00002589
140.0000,52.5000,102.0000,0.00003710
140.0000,55.0000,52.0000,0.00000123
140.0000,55.0000,54.5000,0.00000131
140.0000,55.0000,57.0000,0.00000148
140.0000,55.0000,59.5000,0.00000163
140.0000,55.0000,62.0000,0.00000190
140.0000,55.0000,64.5000,0.00000211
140.0000,55.0000,67.0000,0.00000251
140.0000,55.0000,69.5000,0.00000283
140.0000,55.0000,72.0000,0.00000341
140.0000,55.0000,74.5000,0.00000385
140.0000,55.0000,77.0000,0.00000459
140.0000,55.0000,79.5000,0.00000515
140.0000,55.0000,82.0000,0.00000616
140.0000,55.0000,84.5000,0.00000701
140.0000,55.0000,87.0000,0.00000867
140.0000,55.0000,89.5000,0.00001013
140.0000,55.0000,92.0000,0.00001307
140.0000,55.0000,94.5000,0.00001576
140.0000,55.0000,97.0000,0.00002153
140.0000,55.0000,99.5000,0.00002709
140.0000,55.0000,102.0000,0.00003896
140.0000,57.5000,52.0000,0.00000124
140.0000,57.5000,54.5000,0.00000133
140.0000,57.5000,57.0000,0.00000150
140.0000,57.5000,59.5000,0.00000165
140.0000,57.5000,62.0000,0.00000192
140.0000,57.5000,64.5000,0.00000215
140.0000,57.5000,67.0000,0.00000256
140.0000,57.5000,69.5000,0.00000290
140.0000,57.5000,72.0000,0.00000351
140.0000,57.5000,74.5000,0.00000398
140.0000,57.5000,77.0000,0.00000474
140.0000,57.5000,79.5000,0.00000531
140.0000,57.5000,82.0000,0.00000632
140.0000,57.5000,84.5000,0.00000717
140.0000,57.5000,87.0000,0.00000886
140.0000,57.5000,89.5000,0.00001036
