x,y,z,V
140.0000,50.0000,52.0000,0.26919059
140.0000,50.0000,54.5000,0.24275612
140.0000,50.0000,57.0000,0.21560659
140.0000,50.0000,59.5000,0.20337922
140.0000,50.0000,62.0000,0.19060968
140.0000,50.0000,64.5000,0.18466403
140.0000,50.0000,67.0000,0.17844335
140.0000,50.0000,69.5000,0.17568270
140.0000,50.0000,72.0000,0.17309326
140.0000,50.0000,74.5000,0.17213706
140.0000,50.0000,77.0000,0.17155422
140.0000,50.0000,79.5000,0.17169299
140.0000,50.0000,82.0000,0.17286920
140.0000,50.0000,84.5000,0.17450997
140.0000,50.0000,87.0000,0.17869058
140.0000,50.0000,89.5000,0.18292874
140.0000,50.0000,92.0000,0.19226691
140.0000,50.0000,94.5000,0.20127757
140.0000,50.0000,97.0000,0.22130808
140.0000,50.0000,99.5000,0.24102869
140.0000,50.0000,102.0000,0.28284037
140.0000,52.5000,52.0000,0.25607596
140.0000,52.5000,54.5000,0.23025782
140.0000,52.5000,57.0000,0.20367892
140.0000,52.5000,59.5000,0.19169522
140.0000,52.5000,62.0000,0.17921717
140.0000,52.5000,64.5000,0.17346571
140.0000,52.5000,67.0000,0.16760415
140.0000,52.5000,69.5000,0.16515603
140.0000,52.5000,72.0000,0.16308766
140.0000,52.5000,74.5000,0.16239099
140.0000,52.5000,77.0000,0.16188482
140.0000,52.5000,79.5000,0.16184797
140.0000,52.5000,82.0000,0.16254646
140.0000,52.5000,84.5000,0.16385744
140.0000,52.5000,87.0000,0.16764787
140.0000,52.5000,89.5000,0.17168204
140.0000,52.5000,92.0000,0.18073152
140.0000,52.5000,94.5000,0.18951463
140.0000,52.5000,97.0000,0.20903537
140.0000,52.5000,99.5000,0.22820321
140.0000,52.5000,102.0000,0.26875613
140.0000,55.0000,52.0000,0.24099106
140.0000,55.0000,54.5000,0.21607397
140.0000,55.0000,57.0000,0.19033546
140.0000,55.0000,59.5000,0.17870741
140.0000,55.0000,62.0000,0.16665427
140.0000,55.0000,64.5000,0.16120351
140.0000,55.0000,67.0000,0.15598196
140.0000,55.0000,69.5000,0.15418668
140.0000,55.0000,72.0000,0.15335223
140.0000,55.0000,74.5000,0.15329362
140.0000,55.0000,77.0000,0.15296301
140.0000,55.0000,79.5000,0.15247684
140.0000,55.0000,82.0000,0.15198718
140.0000,55.0000,84.5000,0.15255011
140.0000,55.0000,87.0000,0.15557963
140.0000,55.0000,89.5000,0.15927211
140.0000,55.0000,92.0000,0.16788039
140.0000,55.0000,94.5000,0.17632565
140.0000,55.0000,97.0000,0.19509088
140.0000,55.0000,99.5000,0.21344882
140.0000,55.0000,102.0000,0.25217287
140.0000,57.5000,52.0000,0.23316951
140.0000,57.5000,54.5000,0.20879370
140.0000,57.5000,57.0000,0.18357006
140.0000,57.5000,59.5000,0.17216402
140.0000,57.5000,62.0000,0.16038050
140.0000,57.5000,64.5000,0.15512700
140.0000,57.5000,67.0000,0.15034802
140.0000,57.5000,69.5000,0.14902669
140.0000,57.5000,72.0000,0.14912307
140.0000,57.5000,74.5000,0.14955636
140.0000,57.5000,77.0000,0.14935923
140.0000,57.5000,79.5000,0.14852114
140.0000,57.5000,82.0000,0.14711922
140.0000,57.5000,84.5000,0.14712549
140.0000,57.5000,87.0000,0.14961219
140.0000,57.5000,89.5000,0.15307272
140.0000,57.5000,92.0000,0.16139338
140.0000,57.5000,94.5000,0.16962404
140.0000,57.5000,97.0000,0.18791994
140.0000,57.5000,99.5000,0.20578642
140.0000,57.5000,102.0000,0.24341579
140.0000,60.0000,52.0000,0.22390854
140.0000,60.0000,54.5000,0.20022966
140.0000,60.0000,57.0000,0.17568119
140.0000,60.0000,59.5000,0.16457183
140.0000,60.0000,62.0000,0.15314936
140.0000,60.0000,64.5000,0.14815452
140.0000,60.0000,67.0000,0.14392857
140.0000,60.0000,69.5000,0.14316531
140.0000,60.0000,72.0000,0.14431047
140.0000,60.0000,74.5000,0.14530047
140.0000,60.0000,77.0000,0.14525480
140.0000,60.0000,79.5000,0.14401235
